DATE,TIME_M,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
20181101,9:34:26.210201000,AIG,,100,43.93
20181101,9:34:28.312780000,AIG,,500,43.925
20181101,9:34:28.314558000,AIG,,100,43.925
20181101,9:34:28.315709000,AIG,,100,43.925
20181101,9:34:28.319489000,AIG,,500,43.925
20181101,9:34:28.325709000,AIG,,100,43.97
20181101,9:34:28.356797000,AIG,,100,43.925
20181101,9:34:28.360615000,AIG,,100,43.86
20181101,9:34:28.361118000,AIG,,100,43.88
20181101,9:34:28.361463000,AIG,,100,43.88
20181101,9:34:28.374981000,AIG,,200,43.85
20181101,9:34:28.375173000,AIG,,200,43.85
20181101,9:34:28.375536000,AIG,,100,43.85
20181101,9:34:28.376056000,AIG,,100,43.85
20181101,9:34:28.377190000,AIG,,100,43.85
20181101,9:34:28.377706000,AIG,,100,43.85
20181101,9:34:28.377723000,AIG,,100,43.85
20181101,9:34:28.378057000,AIG,,100,43.84
20181101,9:34:28.378128000,AIG,,100,43.85
20181101,9:34:28.378212000,AIG,,1100,43.83
20181101,9:34:28.378257000,AIG,,100,43.85
20181101,9:34:28.378283000,AIG,,100,43.87
20181101,9:34:28.378306000,AIG,,99,43.86
20181101,9:34:28.378327000,AIG,,10,43.88
20181101,9:34:28.378346000,AIG,,1,43.86
20181101,9:34:28.378362000,AIG,,200,43.83
20181101,9:34:28.378381000,AIG,,100,43.83
20181101,9:34:28.378400000,AIG,,9,43.87
20181101,9:34:28.378418000,AIG,,90,43.88
20181101,9:34:28.378518000,AIG,,100,43.89
20181101,9:34:28.378532000,AIG,,100,43.89
20181101,9:34:28.378585000,AIG,,100,43.83
20181101,9:34:28.378603000,AIG,,100,43.85
20181101,9:34:28.378621000,AIG,,100,43.83
20181101,9:34:28.378640000,AIG,,18,43.87
20181101,9:34:28.378760000,AIG,,10,43.86
20181101,9:34:28.378796000,AIG,,100,43.86
20181101,9:34:28.378826000,AIG,,100,43.85
20181101,9:34:28.378862000,AIG,,92,43.87
20181101,9:34:28.378890000,AIG,,90,43.86
20181101,9:34:28.378909000,AIG,,8,43.87
20181101,9:34:28.378930000,AIG,,100,43.85
20181101,9:34:28.378944000,AIG,,10,43.86
20181101,9:34:28.378960000,AIG,,100,43.84
20181101,9:34:28.378980000,AIG,,90,43.85
20181101,9:34:28.378997000,AIG,,92,43.86
20181101,9:34:28.379015000,AIG,,10,43.85
20181101,9:34:28.379034000,AIG,,10,43.84
20181101,9:34:28.379086000,AIG,,18,43.86
20181101,9:34:28.379123000,AIG,,8,43.87
20181101,9:34:28.380296000,AIG,,100,43.86
20181101,9:34:28.380346000,AIG,,100,43.83
20181101,9:34:28.387453000,AIG,,19,43.88
20181101,9:34:28.387469000,AIG,,100,43.87
20181101,9:34:28.387487000,AIG,,92,43.87
20181101,9:34:28.387634000,AIG,,10,43.87
20181101,9:34:28.387663000,AIG,,100,43.87
20181101,9:34:28.387688000,AIG,,119,43.87
20181101,9:34:29.239121000,AIG,,180,43.856
20181101,9:34:29.450218000,AIG,,300,43.85
20181101,9:34:29.451148000,AIG,,100,43.85
20181101,9:34:29.451273000,AIG,,100,43.85
20181101,9:34:29.451533000,AIG,,200,43.85
20181101,9:34:29.451551000,AIG,,100,43.85
20181101,9:34:29.451570000,AIG,,100,43.85
20181101,9:34:29.453400000,AIG,,180,43.85
20181101,9:34:29.455005000,AIG,,200,43.85
20181101,9:34:29.455276000,AIG,,320,43.85
20181101,9:34:29.458928000,AIG,,100,43.83
20181101,9:34:29.460217000,AIG,,100,43.835
20181101,9:34:29.464218000,AIG,,100,43.87
20181101,9:34:29.464407000,AIG,,100,43.87
20181101,9:34:29.464720000,AIG,,118,43.88
20181101,9:34:29.465157000,AIG,,82,43.89
20181101,9:34:29.563892000,AIG,,100,43.85
20181101,9:34:29.882167000,AIG,,100,43.85
20181101,9:34:29.882354000,AIG,,400,43.85
20181101,9:34:29.883727000,AIG,,100,43.84
20181101,9:34:29.883758000,AIG,,182,43.84
20181101,9:34:29.884836000,AIG,,200,43.84
20181101,9:34:29.885444000,AIG,,200,43.84
20181101,9:34:29.885751000,AIG,,200,43.84
20181101,9:34:29.885828000,AIG,,100,43.84
20181101,9:34:29.887887000,AIG,,200,43.84
20181101,9:34:29.899366000,AIG,,100,43.815
20181101,9:34:30.001148000,AIG,,400,43.84
20181101,9:34:30.334481000,AIG,,600,43.815
20181101,9:34:30.334501000,AIG,,100,43.815
20181101,9:34:30.426809000,AIG,,5200,43.815
20181101,9:34:30.602498000,AIG,,300,43.79
20181101,9:34:31.482084000,AIG,,100,43.79
20181101,9:34:31.482601000,AIG,,200,43.83
20181101,9:34:31.482660000,AIG,,200,43.83
20181101,9:34:31.482733000,AIG,,100,43.84
20181101,9:34:31.482805000,AIG,,20,43.83
20181101,9:34:31.482827000,AIG,,100,43.83
20181101,9:34:31.482850000,AIG,,100,43.83
20181101,9:34:31.482870000,AIG,,100,43.83
20181101,9:34:31.482935000,AIG,,100,43.84
20181101,9:34:31.482970000,AIG,,100,43.84
20181101,9:34:31.483014000,AIG,,100,43.88
20181101,9:34:31.483345000,AIG,,100,43.83
20181101,9:34:31.483379000,AIG,,100,43.83
20181101,9:34:31.484047000,AIG,,100,43.84
20181101,9:34:31.484590000,AIG,,100,43.83
20181101,9:34:31.484871000,AIG,,100,43.84
20181101,9:34:31.486874000,AIG,,100,43.83
20181101,9:34:31.491092000,AIG,,100,43.84
20181101,9:34:31.527495000,AIG,,1000,43.84
20181101,9:34:31.599999000,AIG,,100,43.84
20181101,9:34:31.705536000,AIG,,100,43.89
20181101,9:34:31.705555000,AIG,,22,43.87
20181101,9:34:31.705576000,AIG,,200,43.9
20181101,9:34:31.705598000,AIG,,78,43.9
20181101,9:34:31.705645000,AIG,,22,43.9
20181101,9:34:31.706426000,AIG,,18,43.845
20181101,9:34:31.838532000,AIG,,100,43.83
20181101,9:34:31.838633000,AIG,,100,43.84
20181101,9:34:31.838666000,AIG,,100,43.83
20181101,9:34:31.838688000,AIG,,100,43.81
20181101,9:34:31.838797000,AIG,,100,43.78
20181101,9:34:31.838945000,AIG,,100,43.84
20181101,9:34:31.838966000,AIG,,100,43.83
20181101,9:34:31.838992000,AIG,,100,43.84
20181101,9:34:31.839022000,AIG,,100,43.83
20181101,9:34:31.839042000,AIG,,100,43.81
20181101,9:34:31.839064000,AIG,,34,43.8
20181101,9:34:31.839084000,AIG,,100,43.81
20181101,9:34:31.839105000,AIG,,100,43.81
20181101,9:34:31.839125000,AIG,,34,43.79
20181101,9:34:31.839147000,AIG,,100,43.78
20181101,9:34:31.839169000,AIG,,100,43.81
20181101,9:34:31.839189000,AIG,,32,43.78
20181101,9:34:31.839210000,AIG,,300,43.78
20181101,9:34:31.839231000,AIG,,100,43.78
20181101,9:34:31.839251000,AIG,,68,43.78
20181101,9:34:31.839272000,AIG,,100,43.79
20181101,9:34:31.839292000,AIG,,400,43.78
20181101,9:34:31.839800000,AIG,,100,43.84
20181101,9:34:31.840684000,AIG,,400,43.78
20181101,9:34:31.840783000,AIG,,10,43.84
20181101,9:34:31.840803000,AIG,,10,43.85
20181101,9:34:31.840822000,AIG,,100,43.84
20181101,9:34:31.840842000,AIG,,10,43.84
20181101,9:34:31.841675000,AIG,,100,43.84
20181101,9:34:31.842225000,AIG,,100,43.84
20181101,9:34:31.842542000,AIG,,100,43.84
20181101,9:34:31.842703000,AIG,,100,43.84
20181101,9:34:31.842902000,AIG,,100,43.84
20181101,9:34:32.982644000,AIG,,200,43.82
20181101,9:34:32.983399000,AIG,,100,43.82
20181101,9:34:32.984151000,AIG,,200,43.83
20181101,9:34:32.984277000,AIG,,200,43.82
20181101,9:34:32.985634000,AIG,,100,43.83
20181101,9:34:32.986475000,AIG,,300,43.82
20181101,9:34:32.987112000,AIG,,200,43.83
20181101,9:34:32.988456000,AIG,,100,43.82
20181101,9:34:32.988487000,AIG,,300,43.83
20181101,9:34:32.990036000,AIG,,300,43.82
20181101,9:34:32.990191000,AIG,,100,43.83
20181101,9:34:32.991755000,AIG,,300,43.83
20181101,9:34:33.276724000,AIG,,100,43.83
20181101,9:34:33.276889000,AIG,,100,43.83
20181101,9:34:33.276928000,AIG,,100,43.85
20181101,9:34:33.276960000,AIG,,100,43.83
20181101,9:34:33.277396000,AIG,,100,43.83
20181101,9:34:33.277838000,AIG,,100,43.84
20181101,9:34:33.278561000,AIG,,100,43.86
20181101,9:34:33.278594000,AIG,,100,43.86
20181101,9:34:33.278742000,AIG,,100,43.86
20181101,9:34:33.279155000,AIG,,10,43.87
20181101,9:34:33.279566000,AIG,,100,43.83
20181101,9:34:33.280168000,AIG,,100,43.859
20181101,9:34:33.285452000,AIG,,100,43.84
20181101,9:34:33.365058000,AIG,,100,43.86
20181101,9:34:33.476533000,AIG,,100,43.86
20181101,9:34:33.938682000,AIG,,100,43.91
20181101,9:34:33.938702000,AIG,,190,43.91
20181101,9:34:33.938878000,AIG,,10,43.91
20181101,9:34:33.938969000,AIG,,100,43.91
20181101,9:34:33.939089000,AIG,,100,43.91
20181101,9:34:33.939406000,AIG,,100,43.91
20181101,9:34:33.939806000,AIG,,10,43.91
20181101,9:34:33.939923000,AIG,,100,43.91
20181101,9:34:34.154699000,AIG,,100,43.91
20181101,9:34:34.154731000,AIG,,200,43.91
20181101,9:34:34.154799000,AIG,,10,43.92
20181101,9:34:34.155067000,AIG,,100,43.92
20181101,9:34:34.155157000,AIG,,100,43.91
20181101,9:34:34.155441000,AIG,,200,43.91
20181101,9:34:34.155470000,AIG,,100,43.91
20181101,9:34:34.370614000,AIG,,100,43.95
20181101,9:34:36.042468000,AIG,,100,43.855
20181101,9:34:36.042914000,AIG,,100,43.85
20181101,9:34:36.043452000,AIG,,100,43.86
20181101,9:34:36.043811000,AIG,,100,43.86
20181101,9:34:36.043830000,AIG,,100,43.84
20181101,9:34:36.043853000,AIG,,700,43.84
20181101,9:34:36.043933000,AIG,,100,43.84
20181101,9:34:36.044131000,AIG,,100,43.84
20181101,9:34:36.045608000,AIG,,100,43.84
20181101,9:34:36.050633000,AIG,,100,43.84
20181101,9:34:36.222327000,AIG,,100,43.82
20181101,9:34:36.223567000,AIG,,100,43.83
20181101,9:34:36.223734000,AIG,,100,43.835
20181101,9:34:36.225097000,AIG,,100,43.83
20181101,9:34:36.228061000,AIG,,200,43.78
20181101,9:34:36.228269000,AIG,,100,43.84
20181101,9:34:36.272205000,AIG,,100,43.815
20181101,9:34:36.336866000,AIG,,100,43.815
20181101,9:34:36.338660000,AIG,,100,43.83
20181101,9:34:37.141908000,AIG,,400,43.79
20181101,9:34:37.330655000,AIG,,100,43.79
20181101,9:34:37.520205000,AIG,,1000,43.785
20181101,9:34:39.136718000,AIG,,119,43.81
20181101,9:34:39.136736000,AIG,,81,43.81
20181101,9:34:39.136842000,AIG,,10,43.81
20181101,9:34:39.136915000,AIG,,10,43.81
20181101,9:34:39.137486000,AIG,,100,43.81
20181101,9:34:39.137856000,AIG,,89,43.83
20181101,9:34:39.301188000,AIG,,5,43.81
20181101,9:34:42.228068000,AIG,,50,43.76
20181101,9:34:42.228125000,AIG,,200,43.75
20181101,9:34:42.228179000,AIG,,300,43.75
20181101,9:34:42.228200000,AIG,,100,43.75
20181101,9:34:42.228220000,AIG,,100,43.75
20181101,9:34:42.228771000,AIG,,100,43.75
20181101,9:34:42.229745000,AIG,,100,43.74
20181101,9:34:42.229836000,AIG,,105,43.74
20181101,9:34:42.229858000,AIG,,100,43.74
20181101,9:34:42.230083000,AIG,,200,43.74
20181101,9:34:42.232482000,AIG,,100,43.74
20181101,9:34:42.233693000,AIG,,100,43.7
20181101,9:34:42.237931000,AIG,,100,43.69
20181101,9:34:42.776544000,AIG,,3271,43.47
20181101,9:34:43.744168000,AIG,,100,43.64
20181101,9:34:44.693307000,AIG,,100,43.7
20181101,9:34:44.698555000,AIG,,100,43.64
20181101,9:34:44.699613000,AIG,,100,43.64
20181101,9:34:44.714017000,AIG,,100,43.7
20181101,9:34:44.795930000,AIG,,100,43.64
20181101,9:34:45.493076000,AIG,,100,43.64
20181101,9:34:45.493612000,AIG,,200,43.64
20181101,9:34:45.529689000,AIG,,50,43.62
20181101,9:34:46.121081000,AIG,,1000,43.6227
20181101,9:34:47.639273000,AIG,,450,43.6998
20181101,9:34:47.771160000,AIG,,50,43.62
20181101,9:34:47.771198000,AIG,,100,43.62
20181101,9:34:47.771219000,AIG,,450,43.62
20181101,9:34:47.771252000,AIG,,300,43.62
20181101,9:34:47.771290000,AIG,,100,43.62
20181101,9:34:47.771405000,AIG,,100,43.62
20181101,9:34:47.772048000,AIG,,100,43.62
20181101,9:34:47.772400000,AIG,,100,43.62
20181101,9:34:47.772425000,AIG,,950,43.62
20181101,9:34:47.773861000,AIG,,100,43.61
20181101,9:34:47.774185000,AIG,,100,43.59
20181101,9:34:47.775422000,AIG,,100,43.53
20181101,9:34:47.776323000,AIG,,100,43.53
20181101,9:34:47.776636000,AIG,,1289,43.5
20181101,9:34:47.776751000,AIG,,11,43.5
20181101,9:34:47.776848000,AIG,,11,43.51
20181101,9:34:47.776892000,AIG,,100,43.5
20181101,9:34:47.776963000,AIG,,100,43.52
20181101,9:34:47.777029000,AIG,,100,43.53
20181101,9:34:47.777333000,AIG,,100,43.52
20181101,9:34:47.777395000,AIG,,100,43.5
20181101,9:34:47.777426000,AIG,,150,43.53
20181101,9:34:47.777756000,AIG,,100,43.53
20181101,9:34:47.779888000,AIG,,11,43.48
20181101,9:34:47.780486000,AIG,,100,43.49
20181101,9:34:47.780527000,AIG,,100,43.5
20181101,9:34:47.780555000,AIG,,100,43.5
20181101,9:34:47.781461000,AIG,,100,43.52
20181101,9:34:47.786904000,AIG,,100,43.51
20181101,9:34:47.786925000,AIG,,100,43.51
20181101,9:34:47.787882000,AIG,,100,43.5
20181101,9:34:47.787910000,AIG,,100,43.47
20181101,9:34:47.788750000,AIG,,100,43.46
20181101,9:34:47.788954000,AIG,,100,43.46
